English,Arabic,Definition
Radio wave interference,تداخل الموجات الراديوية,The superposition of two or more radio waves resulting in a different radio wave pattern that is more difficult to intercept and decode properly
Random access memory (RAM),ذاكرة الوصول العشوائي,The computer's primary working memory
Range check,فحص المدى,Range checks ensure that data fall within a predetermined range
Ransomware,برمجيات الفدية,Malware that restricts access to the compromised systems until a ransom demand is satisfied
Rapid application development,تطوير النظم المستعجلة,"A methodology that enables enterprises to develop strategically important systems faster, while reducing development costs and maintaining quality by using a series of proven application development techniques, within a well-defined methodology"
Real-time analysis,تحليل البيانات آنياً,"Analysis that is performed on a continuous basis, with results gained in time to alter the run-time system"
Real-time processing,معالجة آنية,An interactive online system capability that immediately updates computer files when transactions are initiated through a terminal
Reasonable assurance,التحقق المطمئن (غير القابل للشك),"A level of comfort short of a guarantee, but considered adequate given the costs of the control and the likely benefits achieved"
Reasonableness check,الفحص الكافي,Compares data to predefined reasonability limits or occurrence rates established for the data
Reciprocal agreement,اتفاقية تبادلية,Emergency processing agreement between two or more enterprises with similar equipment or applications
Record,سجل,A collection of related information that is treated as a unit
Record screen and report layouts,توصيف السجلات والشاشات والتقارير,"Record layouts provide information regarding the type of record, its size and the type of data contained in the record. Screen and report layouts describe what information is provided and necessary for input."
Recovery,تعافي,The phase in the incident response plan that ensures that affected systems or services are restored to a condition specified in the service delivery objectives (SDOs) or business continuity plan (BCP)
Recovery action,إجراء استرجاعي,Execution of a response or task according to a written procedure
Recovery point objective (RPO),نقطة الاسترجاع المستهدفة,Determined based on the acceptable data loss in case of a disruption of operations It indicates the earliest point in time that is acceptable to recover the data. The RPO effectively quantifies the permissible amount of data loss in case of interruption.
Recovery strategy,إستراتيجية الاسترجاع,An approach by an enterprise that will ensure its recovery and continuity in the face of a disaster or other major outage
Recovery testing,فحص الاسترجاع,A test to check the system's ability to recover after a software or hardware failure
Recovery time objective (RTO),وقت الاسترجاع المستهدف,The amount of time allowed for the recovery of a business function or resource after a disaster occurs
Redo logs,سجلات التراجع,"Files maintained by a system, primarily a database management system (DBMS), for the purpose of reapplying changes following an error or outage recovery"
Redundancy check,الفحص الزائد (للتحقق من اخطاء التراسل الشبكي),Detects transmission errors by appending calculated bits onto the end of each segment of data
Redundant Array of Inexpensive Disks (RAID),ريد (منظومة اقراص صلبة),"Provides performance improvements and fault-tolerant capabilities via hardware or software solutions, by writing to a series of multiple disks to improve performance and/or save large files simultaneously"
Redundant site,الموقع الاضافي,"A recovery strategy involving the duplication of key IT components, including data or other key business processes, whereby fast recovery can take place"
Reengineering,اعادة الهندسة,A process involving the extraction of components from existing systems and restructuring these components to develop new systems or to enhance the efficiency of existing systems
Registered ports,منافذ مسجلة,Registered ports--1024 through 49151: Listed by the IANA and on most systems can be used by ordinary user processes or programs executed by ordinary users
Registration authority (RA),هيئة التسجيل,The individual institution that validates an entity's proof of identity and ownership of a key pair
Regression testing,الفحص المعاد,A testing technique used to retest earlier program abends or logical errors that occurred during the initial testing phase
Regulation,تشريعات,Rules or laws defined and enforced by an authority to regulate conduct
Regulatory requirements,متطلبات تشريعية,Rules or laws that regulate conduct and that the enterprise must obey to become compliant
Relational database management system (RDBMS),نظام إدارة قواعد البيانات العلائقية,The general purpose of a database is to store and retrieve related information.
Relevant audit evidence,دليل تدقيقي ذي صلة,Audit evidence is relevant if it pertains to the audit objectives and has a logical relationship to the findings and conclusions it is used to support.
Relevant information,معلومات ذات صلة,"Relating to controls, tells the evaluator something meaningful about the operation of the underlying controls or control component. Information that directly confirms the operation of controls is most relevant. Information that relates indirectly to the operation of controls can also be relevant, but is less relevant than direct information."
Reliable audit evidence,دليل تدقيقي يستند إليه,"Audit evidence is reliable if, in the IS auditor's opinion, it is valid, factual, objective and supportable."
Reliable information,معلومات مؤكدة,"Information that is accurate, verifiable and from an objective source"
Remediation,معالجة,"After vulnerabilities are identified and assessed, appropriate remediation can take place to mitigate or eliminate the vulnerability"
Remote access service (RAS),خدمة الدخول عن بعد,Refers to any combination of hardware and software to enable the remote access to tools or information that typically reside on a network of IT devices
Remote Authentication Dial-in User Service (RADIUS),خدمة التحقق من هوية المستخدمين المتصلين عبر الهاتف,A type of service providing an authentication and accounting system often used for dial-up and remote access security
Remote job entry (RJE),حزمة أوامر من الحاسبة الطرفية,The transmission of job control language (JCL) and batches of transactions from a remote terminal location
Remote procedure call (RPC),برتوكول تشغيل البرامج عن بعد بين خادمين,"The traditional Internet service protocol widely used for many years on UNIX-based operating systems and supported by the Internet Engineering Task Force (IETF) that allows a program on one computer to execute a program on another (e.g., server)"
Removable media,وسائط متحركة,Any type of storage device that can be removed from the system while is running
Repeaters,معيد الارسال,A physical layer device that regenerates and propagates electrical signals between two network segments
Replay,إعادة الارسال,The ability to copy a message or stream of messages between two parties and replay (retransmit) them to one or more of the parties
Replication,النسخ المتماثلة (الاضافية),"In its broad computing sense, involves the use of redundant software or hardware elements to provide availability and fault-tolerant capabilities In a database context, replication involves the sharing of data between databases to reduce workload among database servers, thereby improving client performance while maintaining consistency among all systems."
Repository,مخزن / مستودع,An enterprise database that stores and organizes data
Representation,"إقرار، تصريح،","A signed or oral statement issued by management to professionals, where management declares that a current or future fact (e.g., process, system, procedure, policy) is or will be in a certain state, to the best of management's knowledge."
Repudiation,رفض/ نكران,The denial by one of the parties to a transaction or participation in all or part of that transaction or of the content of communication related to that transaction
Reputation risk,خطر على السمعة,The current and prospective effect on earnings and capital arising from negative public opinion
Request for comments (RFC),مطروح للمراجعة والتعليق,A document that has been approved by the Internet Engineering Task Force (IETF) becomes an RFC and is assigned a unique number once published
Request for proposal (RFP),مطروح (للمناقصة) طلب عروض,A document distributed to software vendors requesting them to submit a proposal to develop or provide a software product
Requirements definition,تحديد المتطلبات والمواصفات,A technique used in which the affected user groups define the requirements of the system for meeting the defined needs
Residual risk,الخطر المتبقي,The remaining risk after management has implemented a risk response
Resilience,مرونة (مقاومة الأعطال والتعافي منها),The ability of a system or network to resist failure or to recover quickly from any disruption and usually with minimal recognizable effect
Resource,مصدر,Any enterprise asset that can help the organization achieve its objectives
Resource optimization,تحسين المصادر إلى ابعد قدر ممكن,"One of the governance objectives. Involves effective, efficient and responsible use of all resources—human, financial, equipment, facilities, etc."
Responsible,مسؤول,"In a Responsible, Accountable, Consulted, Informed (RACI) chart, refers to the person who must ensure that activities are completed successfully"
Return on investment (ROI),العائد على الاستثمار,"A measure of operating performance and efficiency, computed in its simplest form by dividing net income by the total investment over the period being considered"
Return-oriented attacks,هجمات إرتدادية,An exploit technique in which the attacker uses control of the call stack to indirectly execute cherry-picked machine instructions immediately prior to the return instruction in subroutines within the existing program code
Reverse engineering,اعادة البناء,A software engineering technique whereby an existing application system code can be redesigned and coded using computer-aided software engineering (CASE) technology
Ring configuration,ترتيب دائري النمط (يتعلق بالشبكة),"Used in either token ring or fiber distributed data interface (FDDI) networks, all stations (nodes) are connected to a multi-station access unit (MSAU), that physically resembles a star-type topology."
Ring topology,طبوغرافية دائرية,A type of local area network (LAN) architecture in which the cable forms a loop and with stations attached at intervals around the loop
Risk,خطر,The combination of the probability of an event and its consequence. (ISO/IEC 73)
Risk acceptance,تقبّل المخاطر,If the risk is within the enterprise's risk tolerance or if the cost of otherwise mitigating the risk is higher than the potential loss and the enterprise can assume the risk and absorb any losses
Risk aggregation,تجميع المخاطر,The process of integrating risk assessments at a corporate level to obtain a complete view on the overall risk for the enterprise
Risk analysis,تحليل المخاطر,"1. A process by which frequency and magnitude of IT risk scenarios are estimated 2. The initial steps of risk management: analyzing the value of assets to the business, identifying threats to those assets and evaluating how vulnerable each asset is to those threats"
Risk appetite,الرغبة في المخاطرة,"The amount of risk, on a broad level, that an entity is willing to accept in pursuit of its mission"
Risk assessment,تقييم المخاطر,A process used to identify and evaluate risk and its potential effects
Risk avoidance,تجنب المخاطر,The process for systematically avoiding risk and constituting one approach to managing risk
Risk culture,ثقافة المخاطر,The set of shared values and beliefs that governs attitudes toward risk-taking and care and integrity and determines how openly risk and losses are reported and discussed
Risk evaluation,تقييم المخاطر,The process of comparing the estimated risk against given risk criteria to determine the significance of the risk. [ISO/IEC Guide 73:2002]
Risk factor,عنصر خطر,"A condition that can influence the frequency and/or magnitude and, ultimately, the business impact of IT-related events/scenarios"
Risk indicator,مؤشر خطر,A metric capable of showing that the enterprise is subject to or has a high probability of being subject to a risk that exceeds the defined risk appetite
Risk management,إدارة المخاطر المؤسسية,"1. The coordinated activities to direct and control an enterprise with regard to risk 2. One of the governance objectives. Entails recognizing risk; assessing the impact and likelihood of that risk; and developing strategies, such as avoiding the risk, reducing the negative effect of the risk and/or transferring the risk, to manage it within the context of the enterprise's risk appetite."
Risk map,خارطة المخاطر,A (graphic) tool for ranking and displaying risk by defined ranges for frequency and magnitude
Risk mitigation,مجابهة المخاطر,The management of risk through the use of countermeasures and controls
Risk owner,صاحب الخطر,The person in whom the organization has invested the authority and accountability for making risk-based decisions and who owns the loss associated with a realized risk scenario
Risk portfolio view,محفظة من المخاطر,"1. A method to identify interdependencies and interconnections among risk, as well as the effect of risk responses on multiple types of risk 2. A method to estimate the aggregate impact of multiple types of risk (e.g., cascading and coincidental threat types/scenarios, risk concentration/correlation across silos) and the potential effect of risk response across multiple types of risk"
Risk reduction,تقليل المخاطر,The implementation of controls or countermeasures to reduce the likelihood or impact of a risk to a level within the organization's risk tolerance.
Risk response,الاستجابة للخطر,"Risk avoidance, risk acceptance, risk sharing/transfer, risk mitigation, leading to a situation that as much future residual risk (current risk with the risk response defined and implemented) as possible (usually depending on budgets available) falls within risk appetite limits"
Risk scenario,سيناريو الخطر,The tangible and assessable representation of risk
Risk sharing,مشاركة الخطر,See Risk transfer
Risk statement,وصف الخطر,A description of the current conditions that may lead to the loss; and a description of the loss Source: Software Engineering Institute (SEI)
Risk tolerance,مستوى تحمل المخاطر,The acceptable level of variation that management is willing to allow for any particular risk as the enterprise pursues its objectives
Risk transfer,تحويل المخاطر,"The process of assigning risk to another enterprise, usually through the purchase of an insurance policy or by outsourcing the service"
Risk treatment,معالجة المخاطر,The process of selection and implementation of measures to modify risk (ISO/IEC Guide 73:2002)
Root cause analysis,تحليل الأسباب الحقيقية,"A process of diagnosis to establish the origins of events, which can be used for learning from consequences, typically from errors and problems"
Rootkit,أدوات مدير النظام,A software suite designed to aid an intruder in gaining unauthorized administrative access to a computer system
Rotating standby,خط محول جاهز,A fail-over process in which there are two nodes (as in idle standby but without priority)
Rounding down,تقريب الاعشار,A method of computer fraud involving a computer code that instructs the computer to remove small amounts of money from an authorized computer transaction by rounding down to the nearest whole value denomination and rerouting the rounded off amount to the perpetrator's account
Router,موجه شبكات,A networking device that can send (route) data packets from one local area network (LAN) or wide area network (WAN) to another and based on addressing at the network layer (Layer 3) in the open systems interconnection (OSI) model
RS-232 interface,مخرج اتصال 232,An interface between data terminal equipment and data communications equipment employing serial binary data interchange
RSA,منهجية تشفير لاتناظرية معروفة باسماء مبتكريها,A public key cryptosystem developed by R. Rivest and A. Shamir and L. Adleman used for both encryption and digital signatures
Rulebase,قاعدة الضوابط,The list of rules and/or guidance that is used to analyze event data
Run instructions,تعليمات التشغيل,Computer operating instructions which detail the step-by step processes that are to occur so an application system can be properly executed; also identifies how to address problems that occur during processing
Run-to-run totals,التحقق بمقابلة المجاميع,Provide evidence that a program processes all input data and that it processed the data correctly
Safeguard,واقي,"A practice, procedure or mechanism that reduces risk"
Salami technique,اسلوب قص الرقاقات (كرقاقات السجق),A method of computer fraud involving a computer code that instructs the computer to slice off small amounts of money from an authorized computer transaction and reroute this amount to the perpetrator's account
Sampling risk,مخاطر عينات الفحص,The probability that an IS auditor has reached an incorrect conclusion because an audit sample and rather than the entire population and was tested
Sampling stratification,ترتيب العينات,"The process of dividing a population into subpopulations with similar characteristics explicitly defined, so that each sampling unit can belong to only one stratum"
Scheduling,جدولة,A method used in the information processing facility (IPF) to determine and establish the sequence of computer job processing
Scope creep,توسع نطاق العمل,"Also called requirement creep, this refers to uncontrolled changes in a project's scope."
Scoping process,وضع نطاق العمل,"Identifying the boundary or extent to which a process, procedure, certification, contract, etc., applies"
Screening routers,موجه شبكات مفحص,A router configured to permit or deny traffic based on a set of permission rules installed by the administrator
Secure Electronic Transaction (SET),معاملة الكترونية محصنة,A standard that will ensure that credit card and associated payment order information travels safely and securely between the various involved parties on the Internet.
Secure Multipurpose Internet Mail Extensions (S/MIME),إمتدادات البريد المحصن متعدد الأغراض عبر الانترنت,"Provides cryptographic security services for electronic messaging applications: authentication, message integrity and non-repudiation of origin (using digital signatures) and privacy and data security (using encryption) to provide a consistent way to send and receive MIME data. (RFC 2311)"
Secure Shell (SSH),حزمة الأوامر المحمية,Network protocol that uses cryptography to secure communication and remote command line login and remote command execution between two networked computers
Secure Sockets Layer (SSL),طبقة المقابس الآمنة,A protocol that is used to transmit private documents through the Internet
Security administrator,مسؤول الأمن,"The person responsible for implementing, monitoring and enforcing security rules established and authorized by management"
Security as a Service (SecaaS),أمن المعلومات كخدمة,The next generation of managed security services dedicated to the delivery and over the Internet and of specialized information-security services.
Security awareness,التوعية الأمنية,The extent to which every member of an enterprise and every other individual who potentially has access to the enterprise's information understand: -Security and the levels of security appropriate to the enterprise -The importance of security and consequences of a lack of security -Their individual responsibilities regarding security (and act accordingly)
Security awareness campaign,حملة للتوعية الأمنية,A predefined and organized number of actions aimed at improving the security awareness of a special target audience about a specific security problem Each security awareness program consists of a number of security awareness campaigns.
Security awareness coordinator,منسق التوعية الأمنية,The individual responsible for setting up and maintaining the security awareness program and coordinating the different campaigns and efforts of the various groups involved in the program He/she is also responsible for making sure that all materials are prepared and advocates/trainers are trained and campaigns are scheduled and events are publicized and the program as a whole moves forward.
Security awareness program,برنامج التوعية الأمنية,"A clearly and formally defined plan, structured approach, and set of related activities and procedures with the objective of realizing and maintaining a security-aware culture"
Security forum,منتدى الأمن,Responsible for information security governance within the enterprise
Security incident,حادثة أمنية,"A series of unexpected events that involves an attack or series of attacks (compromise and/or breach of security) at one or more sites A security incident normally includes an estimation of its level of impact. A limited number of impact levels are defined and, for each, the specific actions required and the people who need to be notified are identified."
Security management,إدارة الأمن,The process of establishing and maintaining security for a computer or network system
Security metrics,معايير أمنية قياسية,A standard of measurement used in management of security-related activities
Security perimeter,حدود أمنية,The boundary that defines the area of security concern and security policy coverage
Security policy,سياسة أمنية,A high-level document representing an enterprise's information security philosophy and commitment
Security procedures,إجراءات أمنية,The formal documentation of operational steps and processes that specify how security goals and objectives set forward in the security policy and standards are to be achieved
Security software,نظم أمنية,"Software used to administer security, which usually includes authentication of users, access granting according to predefined rules, monitoring and reporting functions"
Security standards,معايير امنية,"Practices, directives, guidelines, principles or baselines that state what needs to be done and focus areas of current relevance and concern; they are a translation of issues already mentioned in the security policy"
Security testing,فحص أمني,Ensuring that the modified or new system includes appropriate controls and does not introduce any security holes that might compromise other systems or misuses of the system or its information
Security transaction risk,المخاطر الأمنية لكل معاملة (يتعلق بتوزيع المخاطر مالياً),The current and prospective risk to earnings and capital arising from fraud and error and the inability to deliver products or services and maintain a competitive position and manage information
Segregation/separation of duties (SoD),مبدأ فصل الاختصاصات,A basic internal control that prevents or detects errors and irregularities by assigning to separate individuals the responsibility for initiating and recording transactions and for the custody of assets
Sensitivity,حساسية,A measure of the impact that improper disclosure of information may have on an enterprise
Sequence check,فحص التسلسلية,Verification that the control number follows sequentially and any control numbers out of sequence are rejected or noted on an exception report for further research
Sequential file,ملف تتابعي/تسلسلي,A computer file storage format in which one record follows another
Service bureau,فريق التقنية,A computer facility that provides data processing services to clients on a continual basis
Service catalogue,دليل الخدمات,Structured information on all IT services available to customers
Service delivery objective (SDO),مقاصد/مستويات تقديم الخدمة,"Directly related to the business needs, SDO is the level of services to be reached during the alternate process mode until the normal situation is restored"
Service desk,مكتب تقديم الخدمات,The point of contact within the IT organization for users of IT services
Service level agreement (SLA),اتفاقية تقديم الخدمات,"An agreement, preferably documented, between a service provider and the customer(s)/user(s) that defines minimum performance targets for a service and how they will be measured"
Service provider,مقدم الخدمة,An organization supplying services to one or more (internal or external) customers
Service Set Identifier (SSID),معرف خدمة الشبكة,A 32-character unique identifier attached to the header of packets sent over a wireless local area network (WLAN) that acts as a password when a mobile device tries to connect to the base station subsystem (BSS).
Service user,مستخدم الخدمة,The organization using the outsourced service.
Service-oriented architecture (SOA),هيكلية خدماتية (تتمحور حول الخدمة),A cloud-based library of proven and functional software applets that are able to be connected together to become a useful online application
Servlet,برنامج يعمل في بيئة المتصفح,A Java applet or a small program that runs within a web server environment
Session border controller (SBC),ضابط حلقة الاتصال (يتعلق بأمن الاتصال الرقمي الصوتي VOIP),Provide security features for voice-over IP (VoIP) traffic similar to that provided by firewalls
Shell,طبقة الاستخدام,The interface between the user and the system
Shell programming,برمجة طبقة الاستخدام,"A script written for the shell, or command line interpreter, of an operating system; it is often considered a simple domain-specific programming language"
Significant deficiency,اختلال مهم,"A deficiency or a combination of deficiencies, in internal control, that is less severe than a material weakness, yet important enough to merit attention by those responsible for oversight"
Sign-on procedure,إجراءات الدخول للنظام,The procedure performed by a user to gain access to an application or operating system
Simple fail-over,انتقال مؤقت للنقطة الاحتياطية,A fail-over process in which the primary node owns the resource group
Simple Mail Transfer Protocol (SMTP),برتوكول تبادل البريد البسيط,The standard electronic mail (e-mail) protocol on the Internet
Simple Object Access Protocol (SOAP),برتوكول الوصول للكائنات البسيط,A platform-independent formatted protocol based on extensible markup language (XML) enabling applications to communicate with each other over the Internet
Single factor authentication (SFA),المصادقة أحادية المعامل,Authentication process that requires only the user ID and password to grant access
Single point of failure,نقطة انهيار حاسمة,A resource whose loss will result in the loss of service or production
Skill,مهارة,The learned capacity to achieve pre-determined results
Slack time (float),وقت راكد (يتعلق بادارة المشاريع),"Time in the project schedule, the use of which does not affect the project's critical path; the minimum time to complete the project based on the estimated time for each project segment and their relationships"
SMART,"أهداف ذكية (محددة، قابلة للقياس، يمكن تحقيقها، واقعية، محددة الوقت)","Specific, measurable, attainable, realistic and timely, generally used to describe appropriately set goals"
Smart card,بطاقة ذكية,"A small electronic device that contains electronic memory, and possibly an embedded integrated circuit"
Sniff,يشمّ (امن المعلومات),"The act of capturing network packets, including those not necessarily destined for the computer running the sniffing software"
Sniffing,اشتمام المعلومات من الشبكة,The process by which data traversing a network are captured or monitored
Social engineering,الهندسة الاجتماعية,An attack based on deceiving users or administrators at the target site into revealing confidential or sensitive information
Software,برامج,Programs and supporting documentation that enable and facilitate use of the computer
Software as a service (SaaS),نظم المعلومات كخدمات,Offers the capability to use the provider's applications running on cloud infrastructure. The applications are accessible from various client devices through a thin client interface such as a web browser (e.g.
Software as a service platform as a service and infrastructure as a service (SPI),"البنية التحتية، والنظم كخدمات (يتعلق بالحوسبة السحابية)",The acronym used to refer to the three cloud delivery models
Source code,برامج مصدرية,The language in which a program is written
Source code compare program,مقارنة البرامج المصدرية,"Provides assurance that the software being audited is the correct version of the software, by providing a meaningful listing of any discrepancies between the two versions of the program"
Source document,وثيقة مصدرية,The form used to record data that have been captured
Source lines of code (SLOC),سطور البرامج المصدرية,Often used in deriving single-point software-size estimations
Source routing specification,اتصال موجه من مصدره,A transmission technique where the sender of a packet can specify the route that packet should follow through the network
Spam,بريد غير مرغبوب/ إقتحامي,Computer-generated messages sent as unsolicited advertising
Spanning port,مخرج ممتد,A port configured on a network switch to receive copies of traffic from one or more other ports on the switch
Spear phishing,الخداع بالانتحال,An attack where social engineering techniques are used to masquerade as a trusted party to obtain important information such as passwords from the victim
Split data systems,نظم بيانات مفصولة,A condition in which each of an enterprise's regional locations maintains its own financial and operational data while sharing processing with an enterprisewide and centralized database
Split domain name system (DNS),نظام اسماء النطاقات المفصول,An implementation of DNS that is intended to secure responses provided by the server such that different responses are given to internal vs. external users
Split knowledge/split key,معرفة / مفاتيح مجزأة (لتحقيق حالة أمنية مشتركة بين طرفين),A security technique in which two or more entities separately hold data items that individually convey no knowledge of the information that results from combining the items; a condition under which two or more entities separately have key components that individually convey no knowledge of the plain text key that will be produced when the key components are combined in the cryptographic module
Spoofing,خداع,Faking the sending address of a transmission in order to gain illegal entry into a secure system
SPOOL (simultaneous peripheral operations online),عمليات تبادل رقمي متزامنة بين الأجهزة الطرفية,An automated function that can be based on an operating system or application in which electronic data being transmitted between storage areas are spooled or stored until the receiving device or storage area is prepared and able to receive the information
Spyware,نظم تجسس,Software whose purpose is to monitor a computer user's actions (e.g.
SQL injection,تسرب أوامر برمجية,"Results from failure of the application to appropriately validate input. When specially crafted user-controlled input consisting of SQL syntax is used without proper validation as part of SQL queries, it is possible to glean information from the database in ways not envisaged during application design. (MITRE)"
Stage-gate,بوابة مرحلية,"A point in time when a program is reviewed and a decision is made to commit expenditures to the next set of activities on a program or project, to stop the work altogether, or to put a hold on execution of further work"
Stakeholder,صاحب مصلحة,"Anyone who has a responsibility for, an expectation from or some other interest in the enterprise."
Standard,معيار قياسي,"A mandatory requirement, code of practice or specification approved by a recognized external standards organization, such as International Organization for Standardization (ISO)"
Standing data,بيانات ثابتة,Permanent reference data used in transaction processing
Star topology,طبوغرافية نجمية,A type of local area network (LAN) architecture that utilizes a central controller to which all nodes are directly connected
Stateful inspection,,A firewall architecture that tracks each connection traversing all interfaces of the firewall and makes sure they are valid.
Static analysis,تحليلات ثابتة,Analysis of information that occurs on a non-continuous basis; also known as interval-based analysis
Statistical sampling,أخذ العينات الإحصائية,"A method of selecting a portion of a population, by means of mathematical calculations and probabilities, for the purpose of making scientifically and mathematically sound inferences regarding the characteristics of the entire population"
Statutory requirements,متطلبات تشريعية/ رسمية,Laws created by government institutions
Storage area networks (SANs),شبكة محلية خازنة للبيانات,A variation of a local area network (LAN) that is dedicated for the express purpose of connecting storage devices to servers and other computing devices
Strategic planning,التخطيط الاستراتيجي,"The process of deciding on the enterprise's objectives, on changes in these objectives, and the policies to govern their acquisition and use"
Strengths, weaknesses, opportunities and threats (SWOT)
Structured programming,برمجة هيكلية/منظمة,A top-down technique of designing programs and systems that makes programs more readable and more reliable and more easily maintained
Structured Query Language (SQL),لغة الاستعلام الهيكلية,The primary language used by both application programmers and end users in accessing relational databases
Subject matter,خبير في موضوع ما,"The specific information subject to an IS auditor's report and related procedures, which can include things such as the design or operation of internal controls and compliance with privacy practices or standards or specified laws and regulations (area of activity)"
Substantive testing,فحص موضوعي,"Obtaining audit evidence on the completeness, accuracy or existence of activities or transactions during the audit period"
Sufficient audit evidence,دليل تدقيقي كافي,Audit evidence is sufficient if it is adequate and convincing and would lead another IS auditor to form the same conclusions.
Sufficient evidence,دليل كافي,The measure of the quantity of audit evidence; supports all material questions to the audit objective and scope
Sufficient information,معلومات كافية,"Information is sufficient when evaluators have gathered enough of it to form a reasonable conclusion. For information to be sufficient, however, it must first be suitable."
Suitable information,معلومات مناسبة,"Relevant (i.e., fit for its intended purpose), reliable (i.e., accurate, verifiable and from an objective source) and timely (i.e., produced and used in an appropriate time frame)information"
Supervisory control and data acquisition (SCADA),نظام التحكم الاشرافي وجمع البيانات,"Systems used to control and monitor industrial and manufacturing processes, and utility facilities"
Supply chain management (SCM),إدارة سلسلة التوريد,A concept that allows an enterprise to more effectively and efficiently manage the activities of design and manufacturing and distribution and service and recycling of products and service its customers
Surge suppressor,منظم التيار الكهربائي,Filters out electrical surges and spikes
Suspense file,ملف مؤقت,"A computer file used to maintain information (transactions, payments or other events) until the proper disposition of that information can be determined"
Switches,مقسم / محول,"Typically associated as a data link layer device, switches enable local area network (LAN) segments to be created and interconnected, which has the added benefit of reducing collision domains in Ethernet-based networks."
Symmetric key encryption,مفتاح التشفير التناظري,System in which a different key (or set of keys) is used by each pair of trading partners to ensure that no one else can read their messages The same key is used for encryption and decryption. See also Private Key Cryptosystem.
Synchronize (SYN),تزامن,A flag set in the initial setup packets to indicate that the communicating parties are synchronizing the sequence numbers used for the data transmission
Synchronous transmission,تراسل متزامن,Block-at-a-time data transmission
System development life cycle (SDLC),دورة حياة تطوير النظم,The phases deployed in the development or acquisition of a software system
System exit,مخرج للنظام,Special system software features and utilities that allow the user to perform complex system maintenance
System flowchart,مخطط سير النظام,Graphic representations of the sequence of operations in an information system or program
System hardening,تحصين النظام,A process to eliminate as many security risks as possible by removing all nonessential software programs and protocols and services and utilities from the system
System narrative,ملخص النظام,"Provides an overview explanation of system flowcharts, with explanation of key control points and system interfaces"
System of internal control,منظومة الضوابط الداخلية,"The policies, standards, plans and procedures, and organizational structures designed to provide reasonable assurance that enterprise objectives will be achieved and undesired events will be prevented or detected and corrected"
System software,برامج تشغيلية,"A collection of computer programs used in the design, processing and control of all applications"
System testing,فحص النظام,Testing conducted on a complete and integrated system to evaluate the system's compliance with its specified requirements
Systems acquisition process,عملية شراء النظم,"Procedures established to purchase application software, or an upgrade, including evaluation of the supplier's financial stability, track record, resources and references from existing customers"
Systems analysis,تحليل النظم,The systems development phase in which systems specifications and conceptual designs are developed based on end-user needs and requirements
Table look-up,مربوط بقائمة قيم محددة,Used to ensure that input data agree with predetermined criteria stored in a table
Tangible asset,أصول ملموسة,Any assets that has physical form
Tape management system (TMS),نظام إدارة الاشرطة الممغنطة,A system software tool that logs and monitors and directs computer tape usage
Taps,أشرطة ممغنطة,"Wiring devices that may be inserted into communication links for use with analysis probes, local area network (LAN) analyzers and intrusion detection security systems"
Target,الهدف/ الضحية,Person or asset selected as the aim of an attack
Tcpdump,تفريغ شبكي (يتعلق ببرتوكول TCP),A network monitoring and data acquisition tool that performs filter translation and packet acquisition and packet display
Technical infrastructure security,أمن البنية التحتية التقنية,Refers to the security of the infrastructure that supports the enterprise resource planning (ERP) networking and telecommunications and operating systems and databases
Technology infrastructure,البنية التحتية التقنية,"Technology, human resources (HR) and facilities that enable the processing and use of applications"
Technology infrastructure plan,خطة البنية التحتية التقنية,"A plan for the technology, human resources and facilities that enable the current and future processing and use of applications"
Telecommunications,الاتصالات,Electronic communication by special devices over distances or around devices that preclude direct interpersonal exchange
Teleprocessing,معالجة اتصالاتية,Using telecommunications facilities for handling and processing of computerized information
Telnet,برنامج الاتصال الشبكي عن بعد (Telnet),Network protocol used to enable remote access to a server computer
Terminal Access Controller Access Control System Plus (TACACS+ ),برتوكول الاتصال تاكاكس,"An authentication protocol, often used by remote-access servers"
Terms of reference,مرجعية,A document that confirms a client's and an IS auditor's acceptance of a review assignment
Test data,بيانات للفحص (غير حقيقية),Simulated transactions that can be used to test processing logic and computations and controls actually programmed in computer applications Individual programs or an entire system can be tested.
Test generators,برامج انتاج بيانات عشوائية للفحص,Software used to create data to be used in the testing of computer programs
Test programs,برامج الفحص,Programs that are tested and evaluated before approval into the production environment
Test types,انواع الفحوصات,"Test types include: -Checklist test--Copies of the business continuity plan (BCP) are distributed to appropriate personnel for review -Structured walk through--Identified key personnel walk through the plan to ensure that the plan accurately reflects the enterprise's ability to recover successfully -Simulation test--All operational and support personnel are expected to perform a simulated emergency as a practice session -Parallel Test--Critical systems are run at alternate site (hot, cold, warm or reciprocal) -Complete interruption test--Disaster is replicated, normal production is shut down with real time recovery process"
Testing,الفحص,The examination of a sample from a population to estimate characteristics of the population
Third-party review,مراجعة من طرف مستقل,"An independent audit of the control structure of a service organization, such as a service bureau, with the objective of providing assurance to the users of the service organization that the internal control structure is adequate, effective and sound"
Threat,تهديد (خطر),"Anything (e.g., object, substance, human) that is capable of acting against an asset in a manner that can result in harm"
